timestamp;open;high;low;close;volume
1.7424E+12;0.726;0.727;0.725;0.726;0.879999995
1.7424E+12;0.726;0.727;0.726;0.727;0.219999999
1.7424E+12;0.726;0.728;0.726;0.728;0.879999995
1.7424E+12;0.727;0.727;0.727;0.727;0.109999999
1.7424E+12;0.728;0.728;0.727;0.727;0.219999999
1.7424E+12;0.728;0.729;0.727;0.728;1.210000038
1.7424E+12;0.727;0.728;0.727;0.727;0.550000012
1.7424E+12;0.726;0.726;0.726;0.726;0.109999999
1.7424E+12;0.725;0.725;0.725;0.725;0.219999999
1.7424E+12;0.724;0.725;0.724;0.725;0.330000013
1.7424E+12;0.724;0.724;0.724;0.724;0.439999998
1.7424E+12;0.724;0.726;0.724;0.726;0.330000013
1.7424E+12;0.727;0.727;0.726;0.727;0.330000013
1.7424E+12;0.726;0.726;0.725;0.725;0.769999981
1.7424E+12;0.724;0.725;0.724;0.725;1.100000024
1.7424E+12;0.724;0.725;0.724;0.724;1.210000038
1.7424E+12;0.724;0.726;0.724;0.726;0.439999998
1.7424E+12;0.726;0.726;0.726;0.726;0.109999999
1.7424E+12;0.727;0.727;0.727;0.727;0.109999999
1.7424E+12;0.726;0.726;0.726;0.726;0.109999999
1.7424E+12;0.725;0.727;0.725;0.727;0.550000012
1.7424E+12;0.726;0.727;0.726;0.727;0.660000026
1.7424E+12;0.726;0.727;0.726;0.727;1.649999976
1.7424E+12;0.726;0.727;0.726;0.726;0.660000026
1.7424E+12;0.726;0.726;0.726;0.726;0.219999999
1.7424E+12;0.726;0.727;0.726;0.727;0.219999999
1.7424E+12;0.727;0.728;0.727;0.728;0.769999981
1.7424E+12;0.727;0.728;0.727;0.727;1.320000052
1.7424E+12;0.727;0.728;0.727;0.728;0.219999999
1.7424E+12;0.728;0.728;0.727;0.727;0.439999998
1.7424E+12;0.728;0.728;0.728;0.728;0.109999999
1.7424E+12;0.727;0.727;0.727;0.727;0.219999999
